	Year	Series	Value
Luxembourg	2014	"Total Sexual Violence at the national level, rate per 100,000"	64.685
Luxembourg	2017	"Intentional homicide rates per 100,000"	0.3379
Luxembourg	2017	"Assault rate per 100,000 population"	98.82
Luxembourg	2017	"Kidnapping at the national level, rate per 100,000"	7.771
Luxembourg	2017	"Robbery at the national level, rate per 100,000 population"	76.689
Luxembourg	2017	"Total Sexual Violence at the national level, rate per 100,000"	61.149
Madagascar	2010	"Assault rate per 100,000 population"	16.31
Madagascar	2010	"Kidnapping at the national level, rate per 100,000"	0
Madagascar	2010	"Theft at the national level, rate per 100,000 population"	0.27
Madagascar	2010	"Robbery at the national level, rate per 100,000 population"	14.802
Madagascar	2010	"Total Sexual Violence at the national level, rate per 100,000"	3.29
Madagascar	2015	"Assault rate per 100,000 population"	9.03
Madagascar	2015	"Kidnapping at the national level, rate per 100,000"	0.045
Madagascar	2015	"Theft at the national level, rate per 100,000 population"	0.92
Madagascar	2015	"Robbery at the national level, rate per 100,000 population"	7.184
Madagascar	2015	"Total Sexual Violence at the national level, rate per 100,000"	4.601
Malawi	2005	"Intentional homicide rates per 100,000"	1.584
Malawi	2010	"Intentional homicide rates per 100,000"	3.5764
Malawi	2012	"Intentional homicide rates per 100,000"	1.8122
Malaysia	2005	"Intentional homicide rates per 100,000"	2.3511
Malaysia	2005	"Assault rate per 100,000 population"	16.53
Malaysia	2005	"Theft at the national level, rate per 100,000 population"	133.58
Malaysia	2006	"Intentional homicide rates per 100,000"	2.2441
Malaysia	2006	"Assault rate per 100,000 population"	21.82
Malaysia	2006	"Theft at the national level, rate per 100,000 population"	141.7
Malaysia	2010	"Intentional homicide rates per 100,000"	1.9143
Malaysia	2013	"Intentional homicide rates per 100,000"	2.1277
Maldives	2003	"Intentional homicide rates per 100,000"	1.3215
Maldives	2004	"Kidnapping at the national level, rate per 100,000"	0.321
Maldives	2010	"Intentional homicide rates per 100,000"	1.6406
Maldives	2010	"Assault rate per 100,000 population"	403.83
Maldives	2010	"Kidnapping at the national level, rate per 100,000"	7.109
Maldives	2010	"Theft at the national level, rate per 100,000 population"	1093.17
Maldives	2010	"Robbery at the national level, rate per 100,000 population"	149.454
Maldives	2010	"Total Sexual Violence at the national level, rate per 100,000"	142.896
Maldives	2013	"Intentional homicide rates per 100,000"	0.7219
Maldives	2013	"Assault rate per 100,000 population"	309.86
Maldives	2013	"Kidnapping at the national level, rate per 100,000"	1.925
Maldives	2013	"Theft at the national level, rate per 100,000 population"	1606.49
Maldives	2013	"Robbery at the national level, rate per 100,000 population"	175.24
Maldives	2013	"Total Sexual Violence at the national level, rate per 100,000"	137.74
Maldives	2017	"Kidnapping at the national level, rate per 100,000"	6.849
Malta	2005	"Intentional homicide rates per 100,000"	0.9885
Malta	2005	"Percentage of male and female intentional homicide victims, Male"	0.9966
Malta	2005	"Percentage of male and female intentional homicide victims, Female"	0.9805
Malta	2005	"Theft at the national level, rate per 100,000 population"	2373.33
Malta	2010	"Intentional homicide rates per 100,000"	0.9656
Malta	2010	"Percentage of male and female intentional homicide victims, Male"	1.4591
Malta	2010	"Percentage of male and female intentional homicide victims, Female"	0.4793
Malta	2010	"Assault rate per 100,000 population"	43.48
Malta	2010	"Kidnapping at the national level, rate per 100,000"	0
Malta	2010	"Theft at the national level, rate per 100,000 population"	1876.57
Malta	2010	"Robbery at the national level, rate per 100,000 population"	47.343
Malta	2010	"Total Sexual Violence at the national level, rate per 100,000"	21.981
Malta	2015	"Intentional homicide rates per 100,000"	0.9226
Malta	2015	"Percentage of male and female intentional homicide victims, Male"	0.9218
Malta	2015	"Percentage of male and female intentional homicide victims, Female"	0.9234
Malta	2015	"Assault rate per 100,000 population"	42.17
Malta	2015	"Kidnapping at the national level, rate per 100,000"	0
Malta	2015	"Theft at the national level, rate per 100,000 population"	1993.78
Malta	2015	"Robbery at the national level, rate per 100,000 population"	55.76
Malta	2015	"Total Sexual Violence at the national level, rate per 100,000"	23.963
Malta	2017	"Intentional homicide rates per 100,000"	2.0551
Malta	2017	"Percentage of male and female intentional homicide victims, Male"	3.6452
Malta	2017	"Percentage of male and female intentional homicide victims, Female"	0.4577
Malta	2017	"Kidnapping at the national level, rate per 100,000"	0
Martinique	2005	"Intentional homicide rates per 100,000"	4.7836
Martinique	2009	"Intentional homicide rates per 100,000"	2.7738
Martinique	2009	"Percentage of male and female intentional homicide victims, Male"	4.3643
Martinique	2009	"Percentage of male and female intentional homicide victims, Female"	1.4068
Mauritius	2005	"Intentional homicide rates per 100,000"	3.0278
Mauritius	2005	"Percentage of male and female intentional homicide victims, Male"	3.9372
Mauritius	2005	"Percentage of male and female intentional homicide victims, Female"	2.1343
Mauritius	2005	"Assault rate per 100,000 population"	9.98
Mauritius	2005	"Theft at the national level, rate per 100,000 population"	1172.26
Mauritius	2005	"Total Sexual Violence at the national level, rate per 100,000"	25.696
Mauritius	2010	"Intentional homicide rates per 100,000"	2.6443
Mauritius	2010	"Percentage of male and female intentional homicide victims, Male"	4.0415
Mauritius	2010	"Percentage of male and female intentional homicide victims, Female"	1.2711
Mauritius	2010	"Assault rate per 100,000 population"	19.07
Mauritius	2010	"Kidnapping at the national level, rate per 100,000"	2.805
Mauritius	2010	"Theft at the national level, rate per 100,000 population"	863.94
Mauritius	2010	"Robbery at the national level, rate per 100,000 population"	86.939
Mauritius	2010	"Total Sexual Violence at the national level, rate per 100,000"	34.615
Mauritius	2011	"Intentional homicide rates per 100,000"	2.5578
Mauritius	2011	"Percentage of male and female intentional homicide victims, Male"	3.8702
Mauritius	2011	"Percentage of male and female intentional homicide victims, Female"	1.2679
Mauritius	2011	"Assault rate per 100,000 population"	18.39
Mauritius	2011	"Kidnapping at the national level, rate per 100,000"	3.997
Mauritius	2011	"Theft at the national level, rate per 100,000 population"	731.1
Mauritius	2011	"Robbery at the national level, rate per 100,000 population"	65.068
Mauritius	2011	"Total Sexual Violence at the national level, rate per 100,000"	37.25
Mauritius	2017	"Intentional homicide rates per 100,000"	2.6097
Mauritius	2017	"Percentage of male and female intentional homicide victims, Male"	3.1976
Mauritius	2017	"Percentage of male and female intentional homicide victims, Female"	2.0344
Mayotte	2009	"Intentional homicide rates per 100,000"	5.9261
Mexico	2005	"Intentional homicide rates per 100,000"	9.359
Mexico	2005	"Percentage of male and female intentional homicide victims, Male"	16.6333
Mexico	2005	"Percentage of male and female intentional homicide victims, Female"	2.3978
Mexico	2005	"Assault rate per 100,000 population"	225.62
Mexico	2005	"Kidnapping at the national level, rate per 100,000"	0.307
Mexico	2005	"Theft at the national level, rate per 100,000 population"	80.02
Mexico	2005	"Total Sexual Violence at the national level, rate per 100,000"	27.001
Mexico	2010	"Intentional homicide rates per 100,000"	22.5755
Mexico	2010	"Percentage of male and female intentional homicide victims, Male"	41.7977
Mexico	2010	"Percentage of male and female intentional homicide victims, Female"	4.1586
Mexico	2010	"Assault rate per 100,000 population"	202.19
Mexico	2010	"Kidnapping at the national level, rate per 100,000"	1.125
Mexico	2010	"Theft at the national level, rate per 100,000 population"	115.75
Mexico	2010	"Robbery at the national level, rate per 100,000 population"	646.962
Mexico	2010	"Total Sexual Violence at the national level, rate per 100,000"	29.899
Mexico	2016	"Intentional homicide rates per 100,000"	19.9127
Mexico	2016	"Percentage of male and female intentional homicide victims, Male"	36.0399
Mexico	2016	"Percentage of male and female intentional homicide victims, Female"	4.4771
Mexico	2016	"Assault rate per 100,000 population"	51.61
Mexico	2016	"Kidnapping at the national level, rate per 100,000"	0.99
Mexico	2016	"Theft at the national level, rate per 100,000 population"	251.1
Mexico	2016	"Robbery at the national level, rate per 100,000 population"	128.833
Mexico	2016	"Total Sexual Violence at the national level, rate per 100,000"	29.641
Mexico	2017	"Intentional homicide rates per 100,000"	25.709
Mexico	2017	"Percentage of male and female intentional homicide victims, Male"	46.9244
Mexico	2017	"Percentage of male and female intentional homicide victims, Female"	5.4015
Mexico	2017	"Assault rate per 100,000 population"	43.97
Mexico	2017	"Kidnapping at the national level, rate per 100,000"	1.299
Mexico	2017	"Robbery at the national level, rate per 100,000 population"	179.213
Mexico	2017	"Total Sexual Violence at the national level, rate per 100,000"	29.251
Monaco	2005	"Intentional homicide rates per 100,000"	2.9549
Monaco	2005	"Assault rate per 100,000 population"	455.88
Monaco	2005	"Kidnapping at the national level, rate per 100,000"	0
Monaco	2005	"Theft at the national level, rate per 100,000 population"	952.94
Monaco	2006	"Intentional homicide rates per 100,000"	2.9249
Monaco	2006	"Assault rate per 100,000 population"	411.76
Monaco	2006	"Kidnapping at the national level, rate per 100,000"	5.85
Monaco	2006	"Theft at the national level, rate per 100,000 population"	1017.65
Monaco	2010	"Intentional homicide rates per 100,000"	0
Monaco	2015	"Intentional homicide rates per 100,000"	0
Monaco	2015	"Percentage of male and female intentional homicide victims, Male"	0
Monaco	2015	"Percentage of male and female intentional homicide victims, Female"	0
Monaco	2015	"Assault rate per 100,000 population"	518.42
Monaco	2015	"Kidnapping at the national level, rate per 100,000"	2.651
Monaco	2015	"Theft at the national level, rate per 100,000 population"	1431.58
Monaco	2015	"Robbery at the national level, rate per 100,000 population"	31.579
Monaco	2015	"Total Sexual Violence at the national level, rate per 100,000"	15.789
Monaco	2016	"Kidnapping at the national level, rate per 100,000"	2.627
Monaco	2016	"Theft at the national level, rate per 100,000 population"	1094.74
Monaco	2016	"Total Sexual Violence at the national level, rate per 100,000"	13.158
Mongolia	2005	"Intentional homicide rates per 100,000"	15.7535
Mongolia	2005	"Assault rate per 100,000 population"	118.41
Mongolia	2005	"Kidnapping at the national level, rate per 100,000"	0.04
Mongolia	2005	"Theft at the national level, rate per 100,000 population"	264.57
Mongolia	2005	"Total Sexual Violence at the national level, rate per 100,000"	13.381
Mongolia	2010	"Intentional homicide rates per 100,000"	8.7871
Mongolia	2010	"Percentage of male and female intentional homicide victims, Male"	12.7506
Mongolia	2010	"Percentage of male and female intentional homicide victims, Female"	4.8872
Mongolia	2010	"Assault rate per 100,000 population"	214.01
Mongolia	2010	"Kidnapping at the national level, rate per 100,000"	0
Mongolia	2010	"Theft at the national level, rate per 100,000 population"	212.39
Mongolia	2010	"Robbery at the national level, rate per 100,000 population"	19.118
Mongolia	2010	"Total Sexual Violence at the national level, rate per 100,000"	13.309
Mongolia	2016	"Intentional homicide rates per 100,000"	6.0202
Mongolia	2016	"Percentage of male and female intentional homicide victims, Male"	9.6046
Mongolia	2016	"Percentage of male and female intentional homicide victims, Female"	2.5216
Mongolia	2016	"Assault rate per 100,000 population"	61.91
Mongolia	2016	"Kidnapping at the national level, rate per 100,000"	0.033
Mongolia	2016	"Theft at the national level, rate per 100,000 population"	296.63
Mongolia	2016	"Robbery at the national level, rate per 100,000 population"	15.51
Mongolia	2016	"Total Sexual Violence at the national level, rate per 100,000"	9.49
Mongolia	2017	"Intentional homicide rates per 100,000"	6.134
Mongolia	2017	"Percentage of male and female intentional homicide victims, Male"	9.4987
Mongolia	2017	"Percentage of male and female intentional homicide victims, Female"	2.854
Mongolia	2017	"Assault rate per 100,000 population"	12.78
Mongolia	2017	"Kidnapping at the national level, rate per 100,000"	0.128
Mongolia	2017	"Robbery at the national level, rate per 100,000 population"	39.595
